TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_IV_A_VL_PL;TAB_IV_B_VL_PL_MEDIO
Classe;05.754.060/0001-13;CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA;2025-06-30;1843422623.16;1530569001.40
Classe;06.018.364/0001-85;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FIDC PREMIUM;2025-06-30;25854952.95;26533295.42
Classe;06.081.379/0001-98;KOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;22562922.85;22357772.97
Classe;06.182.371/0001-18;FOR-TE FIDC;2025-06-30;1495989590.16;1481755030.41
Classe;07.084.253/0001-30;MULTI INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;57177315.11;56369131.48
Classe;07.383.363/0001-00;RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS;2025-06-30;129001396.23;127373672.22
Classe;07.507.899/0001-82;GP FIDC FCVS;2025-06-30;10952399.64;0.00
Classe;07.727.002/0001-26;FIDC PCG - BRASIL MULTICARTEIRA;2025-06-30;2464247320.26;2767036585.39
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-06-30;318583719.47;311609036.07
Classe;07.738.319/0001-68;SP RECEBÍVEIS PREMIUM I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  MULTISSEGMENTOS;2025-06-30;23493448.14;24120318.56
Classe;07.742.454/0001-87;GP - FIDC FCVS 2;2025-06-30;79838818.55;0.00
Classe;08.093.745/0001-54;V1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - MULTICARTEIRA;2025-06-30;1402987.36;1419725.72
Classe;08.270.249/0001-29;MACCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;53874904.17;54426876.92
Classe;08.315.045/0001-67;HOPE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2025-06-30;233494904.79;223690277.72
Classe;08.417.544/0001-65;PRAVALER CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADA;2025-06-30;1107708191.11;0.00
Classe;08.611.414/0001-69;V3 FIDC MULTICARTEIRA - NP;2025-06-30;922581212.55;755862304.79
Classe;08.632.394/0001-02;RED - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE  LIMITADA;2025-06-30;1350267895.87;1265362639.09
Classe;08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP RESPONSABILIDADE LIMITADA;2025-06-30;288901433.18;282585064.36
Classe;08.661.352/0001-08;VVMB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;454244703.99;454281398.50
Classe;08.678.936/0001-88;SIFRA PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2025-06-30;1003956564.21;980819216.69
Classe;08.692.888/0001-82;CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;839720597.79;0.00
Classe;08.756.222/0001-40;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL TRADEMAX RESPONSABILIDADE LIMITADA;2025-06-30;258817356.97;252196642.28
Classe;08.927.488/0001-09;FIDC TRENDBANK BANCO DE FOMENTO - MULTISETORIAL;2025-06-30;0.00;0.00
Classe;08.930.397/0001-22;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL PROSPECTA LP;2025-06-30;48031352.56;53069402.42
Classe;08.987.105/0001-98;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FORNECEDORES I DE RESPONSABILIDADE LIMITADA;2025-06-30;40254747.36;27677963.03
Classe;09.009.924/0001-23;ECO MULTI COMMODITIES FIDC AGROPECUARIOS;2025-06-30;-1674240.25;-1515178.48
Classe;09.057.948/0001-58;FIDC MULTISETORIAL EXICON I;2025-06-30;97239032.39;96911304.17
Classe;09.072.384/0001-22;CREDITMIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;44595185.68;39254165.20
Classe;09.104.359/0001-83;DETOMASO FIDC-NP MULTISSETORIAL;2025-06-30;155112161.83;152481704.00
Classe;09.115.244/0001-94;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO II - RESPONSABILIDADE LIMITADA;2025-06-30;568407261.55;557090119.38
Classe;09.137.729/0001-89;MULTI RECEBÍVEIS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-06-30;114343078.19;111977215.85
Classe;09.163.026/0001-25;MERIDIANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-06-30;74399713.34;78414531.44
Classe;09.172.117/0001-27;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL ÁSIA LP;2025-06-30;410301398.19;380392794.15
Classe;09.195.235/0001-50;FIDC DO SISTEMA PETROBRAS;2025-06-30;78029320171.66;75463271683.95
Classe;09.217.017/0001-70;ACCESS 1 FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESPONSABILIDADE LIMITADA;2025-06-30;66278359.02;64630043.70
Classe;09.217.024/0001-71;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRANQUIAS - RESPONSABILIDADE LIMITADA;2025-06-30;1761139753.72;1584429237.46
Classe;09.220.444/0001-07;DELTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-06-30;23330746.97;23358696.44
Classe;09.221.411/0001-81;VERTIGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-06-30;54138664.17;55345483.30
Classe;09.236.210/0001-58;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PRECATÓRIOS SELECIONADOS I;2025-06-30;213342380.16;211915196.78
Classe;09.239.216/0001-89;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL SM LP;2025-06-30;9664711.54;9724672.24
Classe;09.260.031/0001-56;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM;2025-06-30;59142284.76;52841239.70
Classe;09.266.437/0001-46;JPP EMPRESAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICARTEIRA;2025-06-30;35785654.78;35398603.38
Classe;09.363.400/0001-36;MERCANTIL NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS MULTISETORIAL;2025-06-30;186623770.40;184201240.42
Classe;09.410.142/0001-00;TARGET FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS- MULTICREDITO;2025-06-30;31606363.50;31061186.87
Classe;09.414.255/0001-75;DANIELE I - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2025-06-30;22180324.88;22760035.63
Classe;09.443.633/0001-49;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO III - RESPONSABILIDADE LIMITADA;2025-06-30;257974235.32;252930445.14
Classe;09.520.712/0001-06;GRAN FIDC NÃO-PADRONIZADOS MULTISSETORIAL NP - GRANFIDC;2025-06-30;22148949.91;21060271.21
Classe;09.527.140/0001-97;BSPAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL;2025-06-30;386671740.10;383875953.91
