TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;CLASSE_UNICA;CNPJ_ADMIN;ADMIN;CLASSE;CNPJ_CLASSE;CONDOM;FUNDO_EXCLUSIVO;COTST_INTERESSE;PRAZO_CONVERSAO_COTA;TP_PRAZO_CONVERSAO_COTA;PRAZO_PAGTO_RESGATE;TP_PRAZO_PAGTO_RESGATE;TAB_I_VL_ATIVO;TAB_I1_VL_DISP;TAB_I2_VL_CARTEIRA;TAB_I2A_VL_DIRCRED_RISCO;TAB_I2A1_VL_CRED_VENC_AD;TAB_I2A2_VL_CRED_VENC_INAD;TAB_I2A21_VL_TOTAL_PARCELA_INAD;TAB_I2A3_VL_CRED_INAD;TAB_I2A4_VL_CRED_DIRCRED_PERFM;TAB_I2A5_VL_CRED_VENCIDO_PENDENTE;TAB_I2A6_VL_CRED_EMP_RECUP;TAB_I2A7_VL_CRED_RECEITA_PUBLICA;TAB_I2A8_VL_CRED_ACAO_JUDIC;TAB_I2A9_VL_CRED_FATOR_RISCO;TAB_I2A10_VL_CRED_DIVERSO;TAB_I2A11_VL_REDUCAO_RECUP;TAB_I2A12_CPF_CNPJ_CEDENTE_1;TAB_I2A12_PR_CEDENTE_1;TAB_I2A12_CPF_CNPJ_CEDENTE_2;TAB_I2A12_PR_CEDENTE_2;TAB_I2A12_CPF_CNPJ_CEDENTE_3;TAB_I2A12_PR_CEDENTE_3;TAB_I2A12_CPF_CNPJ_CEDENTE_4;TAB_I2A12_PR_CEDENTE_4;TAB_I2A12_CPF_CNPJ_CEDENTE_5;TAB_I2A12_PR_CEDENTE_5;TAB_I2A12_CPF_CNPJ_CEDENTE_6;TAB_I2A12_PR_CEDENTE_6;TAB_I2A12_CPF_CNPJ_CEDENTE_7;TAB_I2A12_PR_CEDENTE_7;TAB_I2A12_CPF_CNPJ_CEDENTE_8;TAB_I2A12_PR_CEDENTE_8;TAB_I2A12_CPF_CNPJ_CEDENTE_9;TAB_I2A12_PR_CEDENTE_9;TAB_I2B_VL_DIRCRED_SEM_RISCO;TAB_I2B1_VL_CRED_VENC_AD;TAB_I2B2_VL_CRED_VENC_INAD;TAB_I2B21_VL_TOTAL_PARCELA_INAD;TAB_I2B3_VL_CRED_INAD;TAB_I2B4_VL_CRED_DIRCRED_PERFM;TAB_I2B5_VL_CRED_VENCIDO_PENDENTE;TAB_I2B6_VL_CRED_EMP_RECUP;TAB_I2B7_VL_CRED_RECEITA_PUBLICA;TAB_I2B8_VL_CRED_ACAO_JUDIC;TAB_I2B9_VL_CRED_FATOR_RISCO;TAB_I2B10_VL_CRED_DIVERSO;TAB_I2B11_VL_REDUCAO_RECUP;TAB_I2B12_CPF_CNPJ_CEDENTE_1;TAB_I2B12_PR_CEDENTE_1;TAB_I2B12_CPF_CNPJ_CEDENTE_2;TAB_I2B12_PR_CEDENTE_2;TAB_I2B12_CPF_CNPJ_CEDENTE_3;TAB_I2B12_PR_CEDENTE_3;TAB_I2B12_CPF_CNPJ_CEDENTE_4;TAB_I2B12_PR_CEDENTE_4;TAB_I2B12_CPF_CNPJ_CEDENTE_5;TAB_I2B12_PR_CEDENTE_5;TAB_I2B12_CPF_CNPJ_CEDENTE_6;TAB_I2B12_PR_CEDENTE_6;TAB_I2B12_CPF_CNPJ_CEDENTE_7;TAB_I2B12_PR_CEDENTE_7;TAB_I2B12_CPF_CNPJ_CEDENTE_8;TAB_I2B12_PR_CEDENTE_8;TAB_I2B12_CPF_CNPJ_CEDENTE_9;TAB_I2B12_PR_CEDENTE_9;TAB_I2C_VL_VLMOB;TAB_I2C1_VL_DEBENTURE;TAB_I2C2_VL_CRI;TAB_I2C3_VL_NP_COMERC;TAB_I2C4_VL_LETRA_FINANC;TAB_I2C5_VL_COTA_FUNDO_ICVM555;TAB_I2C5_VL_COTA_FIF;TAB_I2C6_VL_OUTRO;TAB_I2D_VL_TITPUB_FED;TAB_I2E_VL_CDB;TAB_I2F_VL_OPER_COMPROM;TAB_I2G_VL_OUTRO_RF;TAB_I2H_VL_COTA_FIDC;TAB_I2I_VL_COTA_FIDC_NP;TAB_I2J_VL_CONTRATO_FUTURO;TAB_I2_DEBENTURE_CRI;TAB_I2_COTA_FIDC;TAB_I2_VL_OUTRO_ATIVO;TAB_I3_VL_POSICAO_DERIV;TAB_I3A_VL_MERCADO_TERMO;TAB_I3B_VL_MERCADO_OPCAO;TAB_I3C_VL_MERCADO_FUTURO;TAB_I3D_VL_DIFER_SWAP;TAB_I3E_VL_COBERTURA;TAB_I3F_VL_DEPOSITO_MARGEM;TAB_I4_VL_OUTRO_ATIVO;TAB_I4A_VL_CPRAZO;TAB_I4B_VL_LPRAZO
Classe;05.754.060/0001-13;CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA;2025-06-30;S;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;;05754060000113;ABERTO;N;N;1;DIAS ÚTEIS;1;DIAS ÚTEIS;1843658110.78;500.00;1843628761.83;1387781596.25;1387781596.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;61064911000177;64.67;61064911001734;10.62;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;455847165.58;0.00;0.00;0.00;0.00;;455847165.58;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;28848.95;28848.95;0.00
Classe;06.018.364/0001-85;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FIDC PREMIUM;2025-06-30;S;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;06018364000185;FECHADO;N;N;;;;;45496677.25;0.00;78949.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;0.00;19437786.81;0.00;0.00;319467724.23;0.00;0.00;0.00;0.00;0.00;0.00;;338905511.04;01597168000199;183.80;27175959000114;150.70;15129646000140;136.83;18301267000184;119.47;61068755000112;98.98;70949888000199;91.09;65135956000146;52.95;03272150000142;38.05;05313801000120;25.02;33414.26;0.00;0.00;0.00;0.00;;0.00;33414.26;45535.71;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;45417727.28;45417727.28;0.00
Classe;06.081.379/0001-98;KOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;S;42.066.258/0001-30;RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;06081379000198;FECHADO;N;N;;;;;22602229.46;11635.89;22590593.57;1037088.37;913640.16;11305000.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;11181552.65;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;20898595.64;17825406.17;0.00;0.00;0.00;;1536656.01;1536533.46;0.00;0.00;654909.56;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;06.182.371/0001-18;FOR-TE FIDC;2025-06-30;S;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;;06182371000118;ABERTO;N;N;1;DIAS ÚTEIS;1;DIAS ÚTEIS;1496295249.49;500.00;1496072536.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;1481755030.41;1481755030.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;2975504000152;38.89;06084614000185;12.32;10519123000197;10.31;;;;;;;;;;;;;1245035.21;0.00;0.00;0.00;0.00;;1245035.21;0.00;13072470.48;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;222213.39;222213.39;0.00
Classe;07.084.253/0001-30;MULTI INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;S;62.285.390/0001-40;QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;MULTI INFRA FIDC NP;07084253000130;FECHADO;N;N;;;;;57426390.65;4155.47;57411212.24;7349342.83;4451673.22;2666107.11;49364.66;1168904.27;0.00;0.00;0.00;0.00;0.00;0.00;;937341.77;99999999999999;0.00;;;;;;;;;;;;;;;;;1625000.00;1625000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;99999999999999;0.00;;;;;;;;;;;;;;;;;7052490.10;3248573.83;0.00;0.00;0.00;;3803916.27;0.00;4745000.67;0.00;2313358.30;0.00;34326020.34;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11022.94;11021.81;1.13
Classe;07.383.363/0001-00;RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS;2025-06-30;S;39.669.186/0001-01;HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;;07383363000100;ABERTO;N;N;;;;;130640505.28;1914317.64;128693996.75;68411474.83;70896422.18;0.00;0.00;2486909.06;0.00;0.00;5210204.94;0.00;0.00;0.00;;4971856.41;07652226000116;31.86;;;;;;;;;;;;;;;;;58351451.43;57220170.06;0.00;0.00;1509217.08;0.00;0.00;102762.10;0.00;0.00;0.00;;377935.71;;;;;;;;;;;;;;;;;;;1862233.75;0.00;0.00;0.00;0.00;;1862233.75;0.00;68836.74;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;32190.89;32190.89;0.00
Classe;07.507.899/0001-82;GP FIDC FCVS;2025-06-30;N;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.;GP FIDC FCVS;7507899000182;FECHADO;N;N;;;;;10981931.18;2900.49;10973325.99;6713794.79;7568196.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;854401.77;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;4259531.20;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5704.70;0.00;5704.70
Classe;07.727.002/0001-26;FIDC PCG - BRASIL MULTICARTEIRA;2025-06-30;S;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;;07727002000126;FECHADO;N;S;;;;;2477062730.44;30037.76;2405517123.77;1044914707.81;976069266.87;0.00;0.00;70326032.48;0.00;0.00;0.00;0.00;0.00;0.00;;1480591.54;19821234000128;11.57;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;1290013591.73;109523353.16;0.00;0.00;0.00;;1179065614.55;1424624.02;0.00;0.00;0.00;70588824.23;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;71515568.91;71515568.91;0.00
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-06-30;S;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;07727757000120;FECHADO;N;N;;;;;326974479.65;2276728.99;308962846.81;17387758.91;16002275.22;0.00;0.00;1687654.43;0.00;0.00;0.00;0.00;0.00;0.00;;302170.74;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;269026785.77;248662206.73;0.00;0.00;66936375.73;0.00;0.00;0.00;0.00;0.00;0.00;;46571796.69;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;22171597.59;0.00;0.00;0.00;0.00;;0.00;22171597.59;376704.54;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15734903.85;15734903.85;0.00
Classe;07.738.319/0001-68;SP RECEBÍVEIS PREMIUM I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  MULTISSEGMENTOS;2025-06-30;S;11.758.741/0001-52;BANCO FINAXIS S.A.;;07738319000168;ABERTO;N;N;60;DIAS ÚTEIS;1;DIAS CORRIDOS;23869363.25;13167.05;23070062.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;22207037.66;21172401.31;0.00;0.00;1238893.96;0.00;0.00;0.00;0.00;0.00;0.00;;204257.61;25135909000188;17.78;51314375000167;16.73;50087022000109;15.33;07003660000175;15.09;10403744000100;13.91;00960272000133;10.76;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;257567.17;0.00;0.00;0.00;0.00;;0.00;257567.17;605458.08;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;786133.29;786133.29;0.00
