TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_X_CLASSE_SERIE;TAB_X_QT_COTA;TAB_X_VL_COTA
Classe;05.754.060/0001-13;CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA;2025-06-30;Subclasse Senior;0.00000000;0.00000000
Classe;05.754.060/0001-13;CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;36640099.82769770;50.31161570
Classe;06.018.364/0001-85;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FIDC PREMIUM;2025-06-30;Subclasse Senior Série 1;64830107.16370000;0.39881089
Classe;06.018.364/0001-85;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FIDC PREMIUM;2025-06-30;Subclasse Subordinada Subordinada 1 |;1653877.47280000;0.00000000
Classe;06.081.379/0001-98;KOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;Subclasse Senior Série 1;1230641381.00010000;0.01833428
Classe;06.081.379/0001-98;KOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;Subclasse Subordinada  |;0.00000000;0.00000000
Classe;06.182.371/0001-18;FOR-TE FIDC;2025-06-30;Subclasse Senior Série 1;212243087.50136200;6.49418660
Classe;06.182.371/0001-18;FOR-TE FIDC;2025-06-30;Subclasse Subordinada Subordinada 1 |;78019.14448340;1507.87830540
Classe;07.084.253/0001-30;MULTI INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;Subclasse Senior;0.00000000;0.00000000
Classe;07.084.253/0001-30;MULTI INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;6000.00000328;9529.55251312
Classe;07.383.363/0001-00;RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS;2025-06-30;Subclasse Senior Série 1;11.78807502;7637766.78611603
Classe;07.383.363/0001-00;RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;2.43952443;3873691.33663482
Classe;07.383.363/0001-00;RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS;2025-06-30;Subclasse Subordinada Mezanino 1 | Série 1;542.25247305;54433.80194096
